Intake Date,Intake Time,Animal ID,Name,Species,Primary Breed,Secondary Breed,Age (Months),Size Group,Sex,Altered in Care,Altered before arrival,Intake Type,Intake Sub-Type,Intake From (Zip Code),Address Found (Zip Code),Microchip Number,Outcome Date,Outcome Time,Outcome Type,Outcome Sub-type,Zip Code
08/26/2021,03:29 pm,JHS-A-79592,Cloudy Rainbow,Cat,Domestic Shorthair,,60,,Female,No,Yes,Transfer In,Transfer,-,,985112009102420,08/27/2021,03:10 pm,Adoption,On Site Adoption,
08/26/2021,03:27 pm,JHS-A-79595,Benny,Cat,Domestic Shorthair,,48,,Male,No,Yes,Transfer In,Transfer,-,,981020039920937,08/26/2021,04:20 pm,Adoption,On Site Adoption,
08/26/2021,03:05 pm,JHS-A-79603,Penguin,Cat,Domestic Shorthair,,1,,Female,Yes,No,Stray,No ID,32233,32233,981020041140321,10/08/2021,01:55 pm,Adoption,PetSmart Southside #300,32233
08/26/2021,03:04 pm,JHS-A-79602,Peacock,Cat,Domestic Shorthair,,1,,Female,Yes,No,Stray,No ID,32233,32233,981020041124410,10/08/2021,01:57 pm,Adoption,PetSmart Southside #300,32233
08/26/2021,02:30 pm,JHS-A-79601,Moana,Dog,Mixed Breed (Medium),,24,Medium (20-59),Female,No,Yes,Stray,Microchipped,32216,32216,981020025388228,08/27/2021,09:27 am,Return to Owner/Guardian,By Microchip,32216
08/26/2021,02:19 pm,JHS-A-79600,Perseus,Cat,Domestic Shorthair,,,,Male,No,No,Stray,No ID,32216,32216,981020041267964,09/08/2021,09:39 am,Died,Died in Foster (Use specific Subtype if known),32216
08/26/2021,02:13 pm,JHS-A-79599,McDuffy,Cat,Domestic Shorthair,,2,,Male,Yes,No,Stray,No ID,32246,32205,981020041243945,09/21/2021,10:13 am,Adoption,On Site Adoption,32205
08/26/2021,01:54 pm,JHS-A-78791,Freddie,Dog,Mixed Breed (Medium),,13,Medium (20-59),Female,Yes,No,Return,Family Issues,32246,,981020041128134,09/04/2021,01:57 pm,Adoption,On Site Adoption,32246
08/26/2021,01:20 pm,JHS-A-79598,Java,Cat,Domestic Shorthair,,,,Male,Yes,No,Stray,No ID,32216,32216,981020041235705,11/03/2021,03:06 pm,Adoption,On Site Adoption,32216
08/26/2021,01:19 pm,JHS-A-79597,Mocha,Cat,Domestic Shorthair,,,,Female,Yes,No,Stray,No ID,32216,32216,981020041267102,11/03/2021,03:06 pm,Adoption,On Site Adoption,32216
09/10/2021,03:25 pm,JHS-A-80023,Luca,Dog,Mixed Breed (Medium),,59,Medium (20-59),Male,No,Yes,Owner/Guardian Surrender,Housing Issues- By Appt,,,981020027506604,09/13/2021,11:20 am,Adoption,On Site Adoption,
09/10/2021,03:18 pm,JHS-A-80022,Pearberry,Cat,Domestic Shorthair,,1,,Male,Yes,No,Stray,No ID,32244,32244,981020041279769,10/13/2021,02:28 pm,Adoption,On Site Adoption,32244
09/10/2021,03:16 pm,JHS-A-80021,Juniper Breeze,Cat,Domestic Shorthair,,1,,Female,Yes,No,Stray,No ID,32244,32244,981020039917036,10/13/2021,12:15 pm,Adoption,On Site Adoption,32244
09/10/2021,03:15 pm,JHS-A-80020,Freesia,Cat,Domestic Shorthair,,1,,Female,Yes,No,Stray,No ID,32244,32244,981020041280800,10/13/2021,09:40 am,Adoption,On Site Adoption,32244
09/10/2021,02:39 pm,JHS-A-80019,Naruto,Cat,Domestic Shorthair,,,,Male,Yes,No,Stray,No ID,32224,32254,981020041272077,11/13/2021,12:01 pm,Adoption,On Site Adoption,32254
09/10/2021,02:38 pm,JHS-A-80018,Sasuke,Cat,Domestic Shorthair,,,,Male,Yes,No,Stray,No ID,32224,32254,981020041308046,11/16/2021,02:04 pm,Adoption,On Site Adoption,32254
09/10/2021,02:38 pm,JHS-A-80017,Hinata,Cat,Domestic Shorthair,,,,Female,Yes,No,Stray,No ID,32224,32254,981020041311822,11/12/2021,09:15 am,Adoption,On Site Adoption,32254
09/10/2021,02:38 pm,JHS-A-80016,Sakura,Cat,Domestic Shorthair,,,,Female,Yes,No,Stray,No ID,32224,32254,981020041236453,11/12/2021,09:15 am,Adoption,On Site Adoption,32254
09/10/2021,01:57 pm,JHS-A-80015,Mercy,Cat,Domestic Medium Hair,,1,,Female,Yes,No,Stray,No ID,32216,32207,981020041268649,10/07/2021,10:06 am,Adoption,On Site Adoption,32207
09/10/2021,01:38 pm,JHS-A-80013,Anni-Frid,Cat,Domestic Shorthair,,1,,Female,Yes,No,Stray,No ID,32246,32246,981020041254553,10/12/2021,04:04 pm,Adoption,On Site Adoption,32246
09/10/2021,01:37 pm,JHS-A-80012,Agnetha,Cat,Domestic Shorthair,,1,,Female,Yes,No,Stray,No ID,32246,32246,981020041248927,12/23/2021,08:44 am,Adoption,PetSmart Town Center #297,32246
