Unnamed: 0,name,review_count,category,Additional categories,price,city,Zip code,state,rating,delivery,pickup,Accepts resvervations
91,Emilio's Pizza,21,italian,Pizza,,Palm Coast,32137,FL,4.0,Yes,No,No
92,Sushi Bar -Hammock Beach Resort,19,asian/sushi,Sushi Bars,,Palm Coast,32137,FL,4.0,No,No,No
93,Carrabba's Italian Grill,114,italian,Italian,$$,Palm Coast,32164,FL,3.5,Yes,Yes,No
94,Anthony's Pizza,65,italian,Pizza,$$,Palm Coast,32137,FL,4.0,Yes,No,No
97,Sunshine Shack,11,cafe/breakfast,Creperies,,Flagler Beach,32136,FL,4.0,No,No,No
98,Island Flavaz,3,unique_foregin,Caribbean,,Flagler Beach,32136,FL,3.0,Yes,Yes,No
99,Sammy J's Boston's Best Breakfast,45,cafe/breakfast,Breakfast & Brunch,$,Flagler Beach,32136,FL,4.5,No,No,No
100,Cocos Caribbean Fushion Restaurant,9,unique_foregin,Caribbean,,Flagler Beach,32136,FL,3.0,No,No,No
101,6th Street Deli,15,cafe/breakfast,Sandwiches,,Flagler Beach,32136,FL,5.0,No,No,No
102,Stoner's Pizza Joint,2,italian,Pizza,,Palm Coast,32137,FL,5.0,Yes,Yes,No
103,Vessel Sandwich,81,american,Salad,$$,Flagler Beach,32136,FL,5.0,No,No,No
104,Faro,73,italian,Pizza,$$,Flagler Beach,32136,FL,4.0,No,No,No
106,Outback Steakhouse,102,cafe/breakfast,Steakhouses,$$,Palm Coast,32137,FL,2.5,Yes,Yes,No
107,Culver's,28,american,Burgers,$,Palm Coast,32164,FL,4.0,No,No,No
108,Fancy Sushi,99,asian/sushi,Japanese,$$,Palm Coast,32174,FL,4.0,Yes,No,No
109,A1A Burrito Works,138,mexican/tex-mex,Mexican,$,Flagler Beach,32136,FL,4.0,No,No,No
