Unnamed: 0,name,review_count,category,Additional categories,price,city,Zip code,state,rating,delivery,pickup,Accepts resvervations
188,Athens Cafe,109,unique_foregin,Greek,$$,Jacksonville,32217,FL,4.5,Yes,Yes,No
189,Whiskey Jax,322,bars/cocktail,Bars,$$,Jacksonville,32256,FL,3.5,Yes,Yes,No
190,Cuban Pizzeria,40,italian,Pizza,$,Jacksonville,32216,FL,4.0,Yes,Yes,No
191,Ida Claire,487,cafe/breakfast,Breakfast & Brunch,$$,Jacksonville,32246,FL,4.5,Yes,No,No
192,Island Tropics,108,unique_foregin,Caribbean,$,Jacksonville,32206,FL,4.0,Yes,No,No
193,K-bop Korean kitchen,21,convenience,Food Trucks,,Jacksonville,32216,FL,4.5,No,No,No
194,Grub Burger Bar,450,american,Burgers,$$,Jacksonville,32246,FL,4.5,Yes,Yes,No
195,Senor Loco Tacos and Tequila,125,mexican/tex-mex,Mexican,,Jacksonville,32216,FL,4.0,Yes,Yes,No
196,Bold Birds Nashville Hot Chicken ,167,american,Chicken Shop,$$,Jacksonville,32205,FL,4.0,Yes,No,No
197,Kaika Teppanyaki,300,asian/sushi,Asian Fusion,$$,Jacksonville,32204,FL,4.5,Yes,Yes,No
198,13 Gypsies,312,unique_foregin,Spanish,$$,Jacksonville,32204,FL,4.0,Yes,Yes,No
199,Benchwarmers Cafe,11,american,American (Traditional),,Jacksonville,32207,FL,5.0,Yes,Yes,No
200,Berndt Ends BBQ,252,american,Barbeque,$$,Jacksonville,32258,FL,4.5,Yes,No,No
201,Jumpin' Jax House of Food,318,italian,Pizza,$$,Jacksonville,32257,FL,4.5,Yes,No,No
202,Mama's Food,35,convenience,Food Trucks,$,Jacksonville,32207,FL,4.5,No,No,No
203,The Mudville Grille,47,american,American (Traditional),$$,Jacksonville,32207,FL,3.0,Yes,Yes,No
204,Pisco's Restaurant,150,unique_foregin,Peruvian,$$,Jacksonville,32216,FL,4.0,Yes,No,No
205,Los Andes Restaurant,59,unique_foregin,Latin American,$$,Jacksonville,32225,FL,4.5,Yes,Yes,No
206,Copeland's,404,american,Cajun/Creole,$$,Jacksonville,32216,FL,3.5,Yes,Yes,No
207,St. Johns Provision,11,american,Southern,$$,Jacksonville,32207,FL,3.5,Yes,No,No
208,Tipicos Antojitos Hondureños,18,convenience,Food Trucks,,Jacksonville,32216,FL,4.5,No,No,No
209,Hala’s Mideast Eatery And Market,112,dessert/bakery,Bakeries,$$,Jacksonville,32216,FL,4.5,Yes,Yes,No
210,The Happy Grilled Cheese Mandarin,157,cafe/breakfast,Sandwiches,$,Jacksonville,32257,FL,4.5,Yes,Yes,No
211,Luigi's Touchdown Grill,7,cafe/breakfast,Breakfast & Brunch,$,Jacksonville,32202,FL,4.5,Yes,Yes,No
212,The Bread & Board Provisions,1,cafe/breakfast,Coffee & Tea,,Jacksonville,32202,FL,5.0,No,No,No
213,Cooper's Hawk Winery & Restaurant - Jacksonville,696,american,American (New),$$,Jacksonville,32246,FL,4.0,Yes,No,No
214,Persepolis Cafe,1,unique_foregin,Persian/Iranian,,Jacksonville,32217,FL,5.0,No,No,No
